"student_id","minutes_watched","certificates_issued"
"233619","1523.60","6"
"233988","289.40","1"
"234155","225.53","1"
"234596","773.77","1"
"235274","345.50","3"
"235735","534.15","1"
"235996","370.53","1"
"236361","456.70","1"
"236628","856.90","2"
"236797","628.10","1"
"238800","366.67","1"
"238848","1924.93","7"
"238879","52.37","1"
"238987","570.57","4"
"240294","120.63","1"
"241632","977.67","3"
"242454","841.87","6"
"243847","528.17","1"
"244031","369.02","1"
"244886","556.72","3"
"246267","3711.67","12"
"247618","581.00","1"
"248036","354.75","2"
"248305","558.08","1"
"248414","427.03","3"
"250629","76.17","2"
"251774","504.37","1"
"252008","927.18","3"
"252339","2260.82","4"
"252678","1582.23","5"
"253264","898.42","1"
"253574","1176.13","1"
"253682","493.32","1"
"253823","1089.60","4"
"253827","968.85","2"
"254098","30.75","1"
"254310","1317.85","7"
"254378","274.42","1"
"254431","1426.67","6"
"254466","130.58","1"
"254553","1148.97","2"
"254558","757.53","2"
"254601","386.55","3"
"254713","1835.53","8"
"254759","336.60","1"
"254813","601.65","2"
"254858","257.50","1"
"254860","289.70","1"
"254868","97.12","1"
"254914","1020.10","4"
"254929","833.83","1"
"254931","239.85","1"
"254953","749.80","2"
"254972","173.57","1"
"255058","731.73","2"
"255169","367.25","3"
"255186","404.53","3"
"255187","53.33","1"
"255220","1096.63","2"
"255271","222.08","1"
"255275","723.55","3"
"255282","657.80","2"
"255296","589.55","1"
"255449","138.53","1"
"255668","733.63","4"
"255827","1054.35","6"
"256432","549.55","1"
"256448","2073.87","5"
"256670","1528.85","6"
"256703","1914.42","8"
"256834","130.00","1"
"256954","284.45","2"
"256969","454.68","1"
"257112","265.60","2"
"257130","137.18","1"
"257151","916.03","1"
"257384","630.03","4"
"257415","181.40","1"
"258044","1095.57","1"
"258141","351.82","1"
"258337","675.45","2"
"258636","687.77","3"
"259011","621.98","3"
"259106","334.55","1"
"259174","281.50","1"
"259283","564.65","1"
"259429","507.32","4"
"259483","75.43","1"
"259494","113.58","1"
"259504","2051.80","6"
"259767","1997.07","3"
"259860","1595.12","5"
"259884","1119.37","2"
"259959","334.90","2"
"260042","1700.32","8"
"260168","935.27","2"
"260173","1378.07","3"
"260345","1387.15","3"
"260465","1228.20","4"
"260572","426.80","2"
"260608","638.90","1"
"260616","1253.08","5"
"260649","323.22","2"
"260754","1256.03","5"
"260833","118.33","1"
"260861","194.03","1"
"260910","529.83","2"
"260980","817.02","4"
"260998","1906.50","15"
"261019","719.50","2"
"261171","728.08","4"
"261189","405.08","2"
"261212","1409.43","5"
"261337","571.67","1"
"261393","412.78","1"
"261466","1621.37","6"
"261510","170.35","2"
"261590","864.22","4"
"261593","270.42","1"
"261647","914.22","1"
"261682","1501.77","4"
"261756","1424.67","6"
"261777","2779.63","10"
"261785","1445.70","3"
"261801","2338.62","11"
"261802","361.07","1"
"261813","427.45","2"
"261819","37.43","1"
"261883","426.72","1"
"261905","2220.75","4"
"262112","1574.37","2"
"262406","570.57","3"
"262412","687.73","2"
"262459","1077.42","1"
"262569","395.40","1"
"262585","1220.98","2"
"262599","296.07","1"
"262641","542.63","1"
"263076","1315.42","6"
"263293","995.50","3"
"263368","387.03","1"
"263456","262.45","1"
"263480","228.20","2"
"263494","798.05","1"
"263579","346.18","1"
"263690","1030.07","4"
"263706","148.88","1"
"264049","368.17","1"
"264146","1809.10","7"
"264253","337.07","1"
"264295","2376.15","3"
"264404","518.60","1"
"264425","835.77","2"
"264472","195.53","1"
"264476","1397.18","3"
"264514","763.43","1"
"264623","220.98","1"
"264687","82.53","1"
"264761","127.97","1"
"264916","779.43","4"
"264954","681.85","1"
"265003","1115.90","3"
"265005","525.83","1"
"265092","1480.15","6"
"265101","424.83","3"
"265130","118.85","1"
"265176","57.82","1"
"265250","1213.63","3"
"265519","470.38","2"
"265588","1465.75","4"
"265653","181.82","1"
"265686","132.82","1"
"265789","251.82","1"
"265808","486.98","1"
"265878","636.08","3"
"265928","1656.52","7"
"265966","853.88","2"
"265967","1371.45","5"
"265970","163.22","1"
"266001","1749.95","3"
"266012","1258.25","1"
"266041","168.17","1"
"266112","5311.62","5"
"266332","705.80","3"
"266477","69.85","2"
"266529","1179.80","4"
"266614","819.33","4"
"266693","473.27","2"
"266758","1064.42","2"
"266766","1233.13","2"
"266788","1288.00","5"
"266811","154.07","1"
"267010","1174.67","3"
"267026","429.58","1"
"267064","1787.35","6"
"267203","515.77","2"
"267765","428.73","2"
"267843","56.88","2"
"267854","271.75","2"
"267885","443.63","1"
"267898","1379.63","6"
"267916","2326.67","10"
"267936","2542.98","1"
"267949","110.65","1"
"267959","809.78","1"
"268011","2544.77","7"
"268129","593.00","3"
"268154","310.57","1"
"268331","2237.55","1"
"268357","1405.98","3"
"268390","2009.38","13"
"268408","240.90","1"
"268510","167.53","1"
"268516","1269.25","1"
"268553","78.13","1"
"268556","908.65","3"
"268714","561.08","3"
"268764","1941.10","6"
"268796","1844.53","9"
"268800","753.90","3"
"268805","1880.25","1"
"268825","1609.35","1"
"268863","517.40","2"
"268866","441.78","2"
"268926","2070.15","11"
"268962","569.23","1"
"268978","3002.23","4"
"268989","1480.08","4"
"268990","1551.58","2"
"269000","634.92","1"
"269020","125.78","1"
"269047","349.65","1"
"269054","778.33","2"
"269066","1832.58","4"
"269070","573.37","1"
"269220","237.98","1"
"269314","1675.65","4"
"269492","588.65","1"
"269518","1662.82","9"
"269519","521.85","2"
"269540","374.35","1"
"269541","1504.12","5"
"269570","569.80","2"
"269646","1220.07","1"
"269670","218.13","1"
"269671","465.35","2"
"269744","907.43","1"
"269843","513.47","1"
"269872","701.03","4"
"269898","471.55","1"
"269934","879.12","4"
"270022","548.57","4"
"270042","1368.35","1"
"270075","2588.00","7"
"270135","249.33","1"
"270179","536.13","2"
"270240","694.68","2"
"270247","512.52","1"
"270363","255.42","1"
"270367","341.50","1"
"270393","700.20","2"
"270460","936.02","1"
"270599","2619.62","10"
"270619","344.35","2"
"270633","692.10","2"
"270671","419.37","2"
"270700","611.55","1"
"270738","1342.07","1"
"270824","215.27","1"
"270833","506.48","2"
"270911","138.30","1"
"270930","397.17","1"
"270957","1320.95","2"
"271015","2044.02","2"
"271035","1532.88","3"
"271140","702.82","2"
"271154","2510.02","6"
"271185","1506.78","1"
"271300","829.83","1"
"271338","492.02","1"
"271348","890.82","3"
"271519","1571.22","3"
"271543","951.15","2"
"271664","536.60","1"
"271800","2011.07","2"
"271837","236.60","1"
"271872","391.67","1"
"271991","1079.05","3"
"272001","1298.62","2"
"272035","2081.60","1"
"272157","379.13","1"
"272199","728.87","1"
"272255","713.95","2"
"272261","485.12","1"
"272437","789.95","2"
"272463","364.70","1"
"272504","335.05","1"
"272510","357.87","1"
"272543","172.00","1"
"272569","187.83","1"
"272570","325.38","1"
"272596","1042.13","2"
"272696","202.80","1"
"272717","2416.55","4"
"272838","201.48","1"
"272842","6163.18","1"
"272865","846.07","2"
"272882","327.03","1"
"272909","4111.93","8"
"272918","347.35","1"
"272965","2342.55","8"
"273060","974.52","1"
"273249","395.93","1"
"273371","168.53","2"
"273423","5334.78","18"
"273654","333.50","1"
"273803","297.75","1"
"273841","1047.52","1"
"273992","356.48","2"
"274039","1160.60","7"
"274050","3073.05","10"
"274070","1262.57","2"
"274087","190.00","1"
"274162","847.95","1"
"274163","737.02","1"
"274209","1029.22","1"
"274269","212.87","2"
"274273","601.33","2"
"274382","626.35","3"
"274564","1862.78","4"
"274572","725.83","1"
"274576","1203.13","5"
"274611","152.23","1"
"274630","178.63","1"
"274798","629.15","1"
"274814","823.72","2"
"274825","1147.78","1"
"274836","89.18","1"
"274838","82.53","1"
"274861","1171.38","3"
"274880","58.73","1"
"274904","430.45","2"
"274906","1482.15","7"
"274908","458.45","1"
"274929","815.87","2"
"274996","760.40","3"
"275008","173.43","1"
"275020","1193.27","6"
"275021","210.47","3"
"275038","715.03","4"
"275103","169.48","1"
"275129","1416.27","3"
"275132","574.78","3"
"275165","657.27","2"
"275273","234.17","1"
"275275","324.93","1"
"275277","528.00","1"
"275282","941.87","5"
"275286","269.18","1"
"275293","104.57","1"
"275442","1505.03","4"
"275449","772.07","3"
"275470","1443.37","7"
"275552","302.38","1"
"275574","419.92","1"
"275590","637.63","3"
"275788","385.58","3"
"275799","324.60","1"
"276135","1138.93","3"
"276232","301.60","1"
"276265","280.65","1"
"276395","146.78","1"
"276439","1518.10","6"
"276455","1248.85","4"
"276490","1165.85","1"
"276783","698.83","3"
"276784","550.53","1"
"276887","449.72","1"
"277066","833.42","2"
"277084","939.48","3"
"277099","187.37","1"
"277285","992.13","1"
"277398","536.78","1"
"277410","146.98","1"
"277508","991.05","4"
"277557","1308.02","2"
"277590","458.07","2"
"277791","488.25","1"
"277825","338.32","1"
"277864","288.53","1"
"277964","308.62","1"
"278055","222.32","1"
"278177","200.88","1"
"278283","1054.88","2"
"278326","271.53","1"
"278509","662.55","1"
"278582","396.08","2"
"278753","636.97","1"
"278758","225.93","1"
"278881","490.33","2"
"278882","174.78","1"
"278927","383.85","2"
"279468","160.08","1"
"279738","158.07","1"
"279766","132.80","1"
